game,Black's method rank,Condorcet rank,Borda rank,Count of listings,QID,record ID
Tom Clancy's Rainbow Six Siege,1618,76,789,1,Q17183996,recvpVQmWRtqtgk5c
The Walking Dead Season 1,1619,77,650,1,Q27965050,recqgZ3grmK4Z6lmF
Puyo Puyo,1620,77,729,1,Q11286214,recIlRZyM7WqycsEB
Tomcat Alley,1621,77,752,1,Q3531212,rec7Vq424DP22MN7q
James Pond 2,1622,77,752,1,Q44346,recgWGDMxi06vh3fG
Spider-Man,1623,77,757,1,Q288296,recIqxI8UTZ8VezrN
NHL 2001,1624,77,762,1,Q927730,recreemtFtEIVhA1P
NHL 07,1625,77,762,1,Q3494256,reczlY5AO7wpUKUB0
NHL 98,1626,77,762,1,Q3334427,rec4GbhnfmwmHY4L1
NHL 2000,1627,77,762,1,Q6954031,reckI3Ng3Wp8VIEzp
NHL 96,1628,77,762,1,Q3334422,reclTPfg623I0j76b
NHL 2002,1629,77,762,1,Q2424241,recldUfprzjW33zFv
NHL 06,1630,77,762,1,Q3088202,recmsiv3rmqE2fvdN
NHL 08,1631,77,762,1,Q2536043,recoKvjOszq2xzMlg
NHL 13,1632,77,762,1,Q579989,recoMsXeDsN1oXL9o
NHL 12,1633,77,762,1,Q3132748,recpZ3ztxqEfphVNq
NHL 10,1634,77,762,1,Q2605742,recRFt9PMfgWjH0Tt
NHL 2004,1635,77,762,1,Q3334419,recUpx6qBQV8D3v2K
NHL 2003,1636,77,762,1,Q3334417,recXKc2g1JcmBNcLV
NHL 2005,1637,77,762,1,Q3334418,recXQIDC05wl2iQqb
NHL 97,1638,77,762,1,Q3334424,rec0aXaGctIHQEopr
Colossal Cave Adventure,1639,77,763,1,Q379904,recKDrnHtzPgvFWAx
NFL Gameday,1640,77,770,1,Q55624454,rec41vbEUab0tHRmD
NFL GameDay 97,1641,77,770,1,Q55624456,recpKEPUcIJHylIUR
NFL GameDay 98,1642,77,770,1,Q65089437,rec5m5WaBXZCiO4f3
NFL GameDay 99,1643,77,770,1,Q65040526,recReOuVa8mN9Qe5e
Spec Ops: The Line,1644,77,781,1,Q962443,recYcxmmjGvCgZzgu
Shining Force 2,1645,77,791,1,Q2738582,recAFrpsb7Zx0OVoo
80 Days,1646,78,651,1,Q2818462,recrOEXbVfm5Bdbbb
Transistor,1647,78,730,1,Q13417084,recclqVsYgpPUfh8m
Jungle Hunt,1648,78,754,1,Q1713469,recNaNFQ5fqp9hMdR
Turbo Outrun,1649,78,771,1,Q2567511,recjSIlXl3KDRRwOv
Superbrothers: Sword and Sorcery,1650,78,778,1,Q2071060,recnseQ6giVd8aeXN
The Talos Principle,1651,78,783,1,Q18620506,recvCk1G3TqssX8FE
Hard Drivin',1652,78,784,1,Q2333387,rec0y4R2IHGwLEif4
Infinity Blade,1653,78,785,1,Q2575788,recVBU1Dz0lzp59F5
International Superstar Soccer '98,1654,78,786,1,Q2398156,rec43YYkH7hgo7IGd
Middle-earth: Shadow of War,1655,78,798,1,Q28859887,recd2ro3aG6lJuXYD
FS1 Flight Simulator,1656,79,652,1,Q27962184,recNcqNREsY8brTIw
Batman: Arkham Knight,1657,79,732,1,Q15891648,recuZ8bjp1roMs7kV
Star Castle,1658,79,756,1,Q3968282,recyUpxUbymRRse16
Zool,1659,79,773,1,Q220174,recIjHyvo0RjYA1fF
NBA 2K13,1660,79,782,1,Q2680871,recqARz55pT4V0pEA
Fight Night 2004,1661,79,791,1,Q3071627,rec3mccwsmW9AdAOL
Fight Night Round 2,1662,79,791,1,Q2982169,rec5CMjNIaIMC0CQV
Fight Night Round 4,1663,79,791,1,Q2420968,recG87AwCQXn4AcGE
Fight Night Champion,1664,79,791,1,Q2982191,recngdHsWjTHKKELF
What Remains of Edith Finch,1665,79,800,1,Q28451186,recmMIhonf3RZnYU8
